video,has_annotation,T_segments,gt_abn,pseudo_abn,pseudo_ratio,gt_ratio,tp,fp,fn,tn,precision,recall,f1
04_0050,1,21,6,4,0.19047619047619047,0.2857142857142857,4,0,2,15,1.0,0.6666666666666666,0.8
04_006,0,20,0,3,0.15,0.0,0,3,0,17,0.0,0.0,0.0
04_009,0,145,0,58,0.4,0.0,0,58,0,87,0.0,0.0,0.0
04_010,0,22,0,6,0.2727272727272727,0.0,0,6,0,16,0.0,0.0,0.0
04_012,0,59,0,11,0.1864406779661017,0.0,0,11,0,48,0.0,0.0,0.0
04_013,0,28,0,9,0.32142857142857145,0.0,0,9,0,19,0.0,0.0,0.0
04_015,0,23,0,10,0.43478260869565216,0.0,0,10,0,13,0.0,0.0,0.0
04_019,0,45,0,10,0.2222222222222222,0.0,0,10,0,35,0.0,0.0,0.0
04_020,0,34,0,10,0.29411764705882354,0.0,0,10,0,24,0.0,0.0,0.0
05_001,0,52,0,6,0.11538461538461539,0.0,0,6,0,46,0.0,0.0,0.0
05_0018,1,30,5,8,0.26666666666666666,0.16666666666666666,0,8,5,17,0.0,0.0,0.0
05_002,0,48,0,4,0.08333333333333333,0.0,0,4,0,44,0.0,0.0,0.0
05_0020,1,40,4,7,0.175,0.1,3,4,1,32,0.42857142857142855,0.75,0.5454545454545454
05_0021,1,25,6,7,0.28,0.24,6,1,0,18,0.8571428571428571,1.0,0.923076923076923
05_0022,1,21,7,3,0.14285714285714285,0.3333333333333333,0,3,7,11,0.0,0.0,0.0
05_0024,1,27,9,0,0.0,0.3333333333333333,0,0,9,18,0.0,0.0,0.0
05_003,0,79,0,6,0.0759493670886076,0.0,0,6,0,73,0.0,0.0,0.0
05_006,0,66,0,14,0.21212121212121213,0.0,0,14,0,52,0.0,0.0,0.0
05_007,0,46,0,14,0.30434782608695654,0.0,0,14,0,32,0.0,0.0,0.0
05_008,0,30,0,5,0.16666666666666666,0.0,0,5,0,25,0.0,0.0,0.0
05_011,0,51,0,8,0.1568627450980392,0.0,0,8,0,43,0.0,0.0,0.0
05_012,0,51,0,4,0.0784313725490196,0.0,0,4,0,47,0.0,0.0,0.0
05_014,0,54,0,7,0.12962962962962962,0.0,0,7,0,47,0.0,0.0,0.0
05_015,0,88,0,13,0.14772727272727273,0.0,0,13,0,75,0.0,0.0,0.0
05_017,0,50,0,10,0.2,0.0,0,10,0,40,0.0,0.0,0.0
05_019,0,50,0,12,0.24,0.0,0,12,0,38,0.0,0.0,0.0
05_020,0,82,0,19,0.23170731707317074,0.0,0,19,0,63,0.0,0.0,0.0
05_022,0,45,0,7,0.15555555555555556,0.0,0,7,0,38,0.0,0.0,0.0
05_024,0,45,0,12,0.26666666666666666,0.0,0,12,0,33,0.0,0.0,0.0
05_027,0,52,0,6,0.11538461538461539,0.0,0,6,0,46,0.0,0.0,0.0
05_029,0,54,0,5,0.09259259259259259,0.0,0,5,0,49,0.0,0.0,0.0
05_031,0,75,0,9,0.12,0.0,0,9,0,66,0.0,0.0,0.0
05_032,0,48,0,9,0.1875,0.0,0,9,0,39,0.0,0.0,0.0
05_035,0,84,0,10,0.11904761904761904,0.0,0,10,0,74,0.0,0.0,0.0
05_036,0,63,0,7,0.1111111111111111,0.0,0,7,0,56,0.0,0.0,0.0
05_037,0,63,0,7,0.1111111111111111,0.0,0,7,0,56,0.0,0.0,0.0
05_040,0,48,0,7,0.14583333333333334,0.0,0,7,0,41,0.0,0.0,0.0
05_042,0,48,0,16,0.3333333333333333,0.0,0,16,0,32,0.0,0.0,0.0
05_046,0,48,0,10,0.20833333333333334,0.0,0,10,0,38,0.0,0.0,0.0
05_047,0,46,0,7,0.15217391304347827,0.0,0,7,0,39,0.0,0.0,0.0
05_050,0,46,0,10,0.21739130434782608,0.0,0,10,0,36,0.0,0.0,0.0
05_051,0,45,0,13,0.28888888888888886,0.0,0,13,0,32,0.0,0.0,0.0
05_052,0,45,0,6,0.13333333333333333,0.0,0,6,0,39,0.0,0.0,0.0
05_053,0,46,0,7,0.15217391304347827,0.0,0,7,0,39,0.0,0.0,0.0
05_055,0,46,0,0,0.0,0.0,0,0,0,46,0.0,0.0,0.0
05_059,0,46,0,4,0.08695652173913043,0.0,0,4,0,42,0.0,0.0,0.0
05_063,0,79,0,11,0.13924050632911392,0.0,0,11,0,68,0.0,0.0,0.0
05_066,0,45,0,8,0.17777777777777778,0.0,0,8,0,37,0.0,0.0,0.0
