video,has_annotation,T_segments,gt_abn,pseudo_abn,pseudo_ratio,gt_ratio,tp,fp,fn,tn,precision,recall,f1
08_003,0,48,0,8,0.16666666666666666,0.0,0,8,0,40,0.0,0.0,0.0
08_0044,1,19,11,8,0.42105263157894735,0.5789473684210527,8,0,3,8,1.0,0.7272727272727273,0.8421052631578948
08_005,0,48,0,9,0.1875,0.0,0,9,0,39,0.0,0.0,0.0
08_0078,1,13,11,4,0.3076923076923077,0.8461538461538461,2,2,9,0,0.5,0.18181818181818182,0.26666666666666666
08_0079,1,15,8,4,0.26666666666666666,0.5333333333333333,0,4,8,3,0.0,0.0,0.0
08_009,0,69,0,16,0.2318840579710145,0.0,0,16,0,53,0.0,0.0,0.0
08_012,0,49,0,7,0.14285714285714285,0.0,0,7,0,42,0.0,0.0,0.0
08_013,0,49,0,18,0.3673469387755102,0.0,0,18,0,31,0.0,0.0,0.0
08_014,0,49,0,6,0.12244897959183673,0.0,0,6,0,43,0.0,0.0,0.0
08_015,0,36,0,5,0.1388888888888889,0.0,0,5,0,31,0.0,0.0,0.0
08_0156,1,21,7,7,0.3333333333333333,0.3333333333333333,0,7,7,7,0.0,0.0,0.0
08_0159,1,16,9,4,0.25,0.5625,3,1,6,6,0.75,0.3333333333333333,0.46153846153846156
08_017,0,58,0,9,0.15517241379310345,0.0,0,9,0,49,0.0,0.0,0.0
08_0178,1,16,10,6,0.375,0.625,2,4,8,2,0.3333333333333333,0.2,0.25
08_0179,1,21,14,6,0.2857142857142857,0.6666666666666666,6,0,8,7,1.0,0.42857142857142855,0.6
08_018,0,58,0,8,0.13793103448275862,0.0,0,8,0,50,0.0,0.0,0.0
08_019,0,54,0,12,0.2222222222222222,0.0,0,12,0,42,0.0,0.0,0.0
08_020,0,54,0,6,0.1111111111111111,0.0,0,6,0,48,0.0,0.0,0.0
08_022,0,51,0,12,0.23529411764705882,0.0,0,12,0,39,0.0,0.0,0.0
08_026,0,67,0,11,0.16417910447761194,0.0,0,11,0,56,0.0,0.0,0.0
08_027,0,85,0,13,0.15294117647058825,0.0,0,13,0,72,0.0,0.0,0.0
08_031,0,50,0,8,0.16,0.0,0,8,0,42,0.0,0.0,0.0
08_033,0,50,0,7,0.14,0.0,0,7,0,43,0.0,0.0,0.0
08_035,0,50,0,5,0.1,0.0,0,5,0,45,0.0,0.0,0.0
08_036,0,72,0,19,0.2638888888888889,0.0,0,19,0,53,0.0,0.0,0.0
08_038,0,45,0,12,0.26666666666666666,0.0,0,12,0,33,0.0,0.0,0.0
08_039,0,45,0,9,0.2,0.0,0,9,0,36,0.0,0.0,0.0
08_040,0,45,0,7,0.15555555555555556,0.0,0,7,0,38,0.0,0.0,0.0
08_041,0,45,0,8,0.17777777777777778,0.0,0,8,0,37,0.0,0.0,0.0
08_042,0,45,0,8,0.17777777777777778,0.0,0,8,0,37,0.0,0.0,0.0
08_044,0,49,0,13,0.2653061224489796,0.0,0,13,0,36,0.0,0.0,0.0
08_049,0,88,0,8,0.09090909090909091,0.0,0,8,0,80,0.0,0.0,0.0
